,date,positive,tested,death_total,death,severe,cases,recovery_total,certificate,recovery,Positive,Severe,Death,Cases,Recovery,l-tested,l-positive,l-severe,l-death,l-cases,l-recovery,Pm,Sm,Dm,Cm,Rm,Tm,t-7days,p-7days,c-7days,s-7days,d-7days,r-7days,P-7days,S-7days,D-7days,C-7days,R-7days,Pm-7days,Sm-7days,Dm-7days,Cm-7days,Rm-7Days,tl-7days,pl-7days,sl-7days,dl-7days,cl-7days,rl-7days
156,2020-06-30,132.0,4651.0,973.0,2.0,40.0,897.0,16522.0,8.0,98.0,2.8380993334766718,30.303030303030305,1.5151515151515151,19.286175016125565,10.925306577480491,3.6675463395115164,2.12057393120585,1.6020599913279625,0.3010299956639812,2.952792443044092,1.9912260756924949,1.0507044495741464,0.3183952877497413,0.015919764387487066,7.140014327787949,0.7800684549868663,37.02141208310117,4199.857142857143,101.14285714285714,796.4285714285714,46.714285714285715,1.4285714285714286,66.28571428571429,2.9004557788832663,48.081471527994076,1.4566370347909248,22.613740165226737,8.299270304173302,0.8050852275957744,0.3718402110505908,0.011371260276776476,6.339477604302885,0.5276264768424285,3.594299253738705,1.9992035085476865,1.6663185225881794,0.5323039069248336,2.8997187069334607,1.8116679111464298
157,2020-07-01,125.0,6564.0,974.0,1.0,37.0,1006.0,16563.0,8.0,41.0,1.9043266301035953,29.599999999999998,0.8,15.326020719073735,4.075546719681909,3.8171685723810556,2.0969100130080562,1.568201724066995,0.0,3.0025979807199086,1.6127838567197355,0.9949852742179416,0.2945156411685107,0.007959882193743533,8.007641486905994,0.32635516994348485,52.24866671973255,4426.285714285715,106.28571428571429,838.2857142857143,43.714285714285715,1.0,63.857142857142854,2.9171442215219434,43.00025162430226,0.9288681744377947,22.757436752615718,7.71939949895054,0.8460217645921697,0.3479605644693602,0.007959882193743533,6.6726555304124355,0.5082953343719084,3.611445888896647,2.0202777951709927,1.6384290555173302,0.4462953367351248,2.921077057057467,1.7901473201688296
158,2020-07-02,194.0,5460.0,975.0,1.0,33.0,1105.0,16654.0,7.0,91.0,3.553113553113553,17.010309278350515,0.5154639175257731,20.238095238095237,8.235294117647058,3.7371926427047373,2.287801729930226,1.5185139398778875,0.0,3.0433622780211294,1.9590413923210936,1.5442171455862455,0.2626761123935366,0.007959882193743533,8.795669824086604,0.7243492796306615,43.46095677783969,4569.857142857143,122.71428571428571,892.2857142857143,41.142857142857146,1.0,66.57142857142857,3.1714049519731495,36.20787266044998,0.8216740505400298,23.31734421728509,7.481053816798725,0.9767912577750993,0.32749229597116253,0.007959882193743533,7.102489168874586,0.5299007288977837,3.6240665938011962,2.0760170292623905,1.611421021771609,0.4462953367351248,2.947052466652052,1.8046771624388047
159,2020-07-03,249.0,6597.0,976.0,1.0,32.0,1224.0,16747.0,7.0,93.0,3.774442928603911,12.851405622489958,0.4016064257028112,18.55388813096862,7.598039215686274,3.819346484080453,2.3961993470957363,1.505149978319906,0.0,3.087781417809542,1.968482948553935,1.9820106662421397,0.25471623019979306,0.007959882193743533,9.742895805142084,0.7402690440181485,52.51134283212609,4832.571428571428,144.14285714285714,959.0,38.857142857142854,0.8571428571428571,71.28571428571429,3.413367344764161,31.117380822970194,0.5904461084687144,23.69503591629274,7.4341988793151454,1.1473601619267464,0.3092982795283201,0.006822756166065887,7.633527023800048,0.5674258878111461,3.6443411718553684,2.1332404796192743,1.5862651276207973,0.4032910516402703,2.976864686410547,1.8318674050345602
160,2020-07-04,268.0,3134.0,976.0,0.0,33.0,1386.0,16838.0,26.0,91.0,8.551372048500319,12.313432835820896,0.0,44.22463305679643,6.565656565656567,3.496098992132571,2.428134794028789,1.5185139398778875,1.2610036829089555,3.141763230275788,1.9590413923210936,2.1332484279232666,0.2626761123935366,0.0,11.032396720528537,0.7243492796306615,24.94627079519223,4775.571428571428,169.85714285714286,1044.142857142857,37.142857142857146,0.8571428571428571,76.71428571428571,4.279163206126484,25.571247851464086,0.5904461084687144,26.818469202033782,7.413741137338415,1.3520428469087231,0.2956527671961884,0.006822756166065887,8.311254136295926,0.6106366768628968,3.6369062225264726,2.2023336398876485,1.567022474206875,0.4032910516402703,3.011741277694168,1.865405336851747
161,2020-07-05,195.0,2618.0,976.0,0.0,34.0,1552.0,16892.0,11.0,54.0,7.448433919022154,17.435897435897434,0.0,59.28189457601223,3.479381443298969,3.417969642214737,2.290034611362518,1.5314789170422551,1.2610036829089555,3.1908917169221698,1.7323937598229686,1.552177027779989,0.2706359945872801,0.0,12.353737164689964,0.4298336384621508,20.83897158322057,4933.428571428572,181.85714285714286,1148.4285714285713,35.857142857142854,0.7142857142857143,77.0,4.295165521250696,22.527984808201044,0.4617459797685856,27.526004514422272,7.007076477343934,1.4475614332336453,0.2854186329470895,0.005685630138388238,9.141356136500608,0.612910928918252,3.670924895982408,2.237292444541343,1.5524525401301135,0.5834344349129782,3.051172691891614,1.8677468248786282
162,2020-07-06,174.0,8228.0,977.0,1.0,36.0,1671.0,16981.0,11.0,89.0,2.1147301895964996,20.689655172413794,0.5747126436781609,20.308701993193974,5.326152004787552,3.9152942830226865,2.2405492482825995,1.5563025007672873,0.0,3.2229764498933915,1.9493900066449128,1.3850195017113747,0.2865557589747672,0.007959882193743533,13.300963145745444,0.7084295152431744,65.4939106901218,5321.714285714285,191.0,1263.0,35.0,0.8571428571428571,79.57142857142857,4.312074086059529,20.029104378286128,0.543847786008323,28.174201247180857,6.600768092034117,1.5203374990050147,0.27859587678102365,0.006822756166065885,10.053331210698081,0.6333791974164498,3.6958024222925365,2.2657433821305393,1.542888713040026,0.40329105164027024,3.0917379309551456,1.8817656331537478
163,2020-07-07,203.0,7099.0,979.0,2.0,35.0,1721.0,17115.0,9.0,134.0,2.8595576841808708,17.24137931034483,0.9852216748768473,24.242851105789548,7.78617083091226,3.8511971761741606,2.307496037913213,1.5440680443502757,0.3010299956639812,3.2357808703275603,2.1271047983648077,1.615856085329937,0.27859587678102365,0.015919764387487066,13.69895725543262,1.0666242139616333,56.50720369338534,5671.428571428572,201.14285714285714,1380.7142857142858,34.285714285714285,0.8571428571428571,84.71428571428571,4.315139564731558,18.16315423647392,0.4681435231119418,28.882297831418573,6.152320128238656,1.6010734469701278,0.2729102466426354,0.006822756166065885,10.990323057504465,0.674315734412845,3.7220382561014853,2.292446540231591,1.5346041491860707,0.4032910516402703,3.132164849138498,1.9011768792497923
164,2020-07-08,203.0,7725.0,980.0,1.0,38.0,1776.0,17250.0,11.0,135.0,2.6278317152103563,18.7192118226601,0.49261083743842365,22.990291262135923,7.601351351351352,3.887898488096872,2.307496037913213,1.5797835966168101,0.0,3.249442961442582,2.130333768495006,1.615856085329937,0.30247552336225425,0.007959882193743533,14.136750776088514,1.074584096155377,61.49008994666879,5837.285714285715,212.28571428571428,1490.7142857142858,34.42857142857143,0.8571428571428571,98.14285714285714,4.418497434032523,16.60875592542536,0.42423078560314514,29.977193623284595,6.656006504191433,1.6897692771289843,0.2740473726703131,0.006822756166065887,11.865910098816252,0.7812055810145438,3.732142529775174,2.322530258075185,1.5362587024074728,0.4032910516402703,3.167428417813166,1.9751125809319738
165,2020-07-09,352.0,7700.0,981.0,1.0,31.0,1929.0,17436.0,14.0,186.0,4.571428571428571,8.806818181818182,0.2840909090909091,25.051948051948052,9.642301710730948,3.886490725172482,2.546542663478131,1.4913616938342726,0.0,3.2853322276438846,2.2695129442179165,2.8018785321977235,0.2467563480060495,0.007959882193743533,15.354612751731274,1.480538088036297,61.2910928918252,6157.285714285715,234.85714285714286,1608.4285714285713,34.142857142857146,0.8571428571428571,111.71428571428571,4.563971008077526,15.436828625920741,0.39117749868387885,30.664886882406428,6.857007588917703,1.8694351895020525,0.2717731206149578,0.006822756166065885,12.802901945622635,0.8892325536439204,3.753470827270566,2.359493248582029,1.5323798101155277,0.4032910516402703,3.2019955534735596,2.019465659774377
