,date,count_first_or_mid_general,count_second_or_full_general,first,second,1st,2nd,1st_ratio,2nd_ratio
54,2021-06-05,611291.0,125138.0,11369672.0,1667635.0,0.4865804346095678,0.09960837379606782,9.050124970150442,1.3274178142163495
55,2021-06-06,559282.0,178429.0,11928954.0,1846064.0,0.445181883308127,0.1420273819947465,9.495306853458569,1.4694451962110961
56,2021-06-07,655323.0,184851.0,12584277.0,2030915.0,0.5216293878850593,0.14713921833956858,10.016936241343629,1.6165844145506647
57,2021-06-08,710345.0,225404.0,13294622.0,2256319.0,0.565426251691475,0.17941892859985673,10.582362493035104,1.7960033431505213
58,2021-06-09,693700.0,277525.0,13988322.0,2533844.0,0.5521770277799889,0.22090663058186738,11.13453952081509,2.016909973732389
59,2021-06-10,679363.0,293353.0,14667685.0,2827197.0,0.5407649446788187,0.23350553211812464,11.67530446549391,2.2504155058505133
60,2021-06-11,684959.0,259261.0,15352644.0,3086458.0,0.5452192947544376,0.2063687017432142,12.22052376024835,2.456784207593728
61,2021-06-12,649566.0,270387.0,16002210.0,3356845.0,0.5170468837061212,0.21522486667197327,12.737570643954468,2.672009074265701
62,2021-06-13,591649.0,314411.0,16593859.0,3671256.0,0.47094563400461675,0.25026745204170975,13.208516277959086,2.9222765263074106
63,2021-06-14,590252.0,407404.0,17184111.0,4078660.0,0.46983363846215076,0.324288784525989,13.678349916421237,3.2465653108334
64,2021-06-15,635575.0,471172.0,17819686.0,4549832.0,0.5059102125288545,0.3750473612990528,14.184260128950092,3.621612672132452
65,2021-06-16,615789.0,523288.0,18435475.0,5073120.0,0.4901607896203137,0.4165310833399665,14.674420918570405,4.038143755472419
66,2021-06-17,623069.0,509571.0,19058544.0,5582691.0,0.4959555838573589,0.4056125129348086,15.170376502427766,4.443756268407228
67,2021-06-18,603655.0,487001.0,19662199.0,6069692.0,0.4805022685664252,0.3876470588235294,15.65087877099419,4.831403327230757
68,2021-06-19,644992.0,435543.0,20307191.0,6505235.0,0.5134060335907029,0.34668709703096395,16.16428480458489,5.178090424261721
69,2021-06-20,645756.0,435042.0,20952947.0,6940277.0,0.5140141685903049,0.3462883069330574,16.678298973175195,5.524378731194778
70,2021-06-21,643099.0,496055.0,21596046.0,7436332.0,0.5118992278914272,0.3948539361617448,17.190198201066625,5.919232667356523
71,2021-06-22,666863.0,597322.0,22262909.0,8033654.0,0.5308150919366393,0.4754612751731275,17.721013293003264,6.39469394252965
72,2021-06-23,668851.0,616703.0,22931760.0,8650357.0,0.5323975165167556,0.49088832285282175,18.25341080952002,6.885582265382473
73,2021-06-24,654836.0,619193.0,23586596.0,9269550.0,0.521241741622224,0.49287033351906395,18.774652551142243,7.378452598901536
74,2021-06-25,635444.0,611591.0,24222040.0,9881141.0,0.5058059380721166,0.48681923107538005,19.28045848921436,7.865271829976916
75,2021-06-26,689484.0,581616.0,24911524.0,10462757.0,0.5488211414471066,0.4629594841996339,19.829279630661468,8.32823131417655
76,2021-06-27,723291.0,536979.0,25634815.0,10999736.0,0.5757311151794954,0.42742895805142084,20.40501074584096,8.75566027222797
77,2021-06-28,619549.0,630511.0,26254364.0,11630247.0,0.49315370532516123,0.5018793281859428,20.898164451166124,9.257539600413914
78,2021-06-29,661838.0,688421.0,26916202.0,12318668.0,0.5268152511342832,0.5479750059699117,21.424979702300405,9.805514606383825
79,2021-06-30,691443.0,684304.0,27607645.0,13002972.0,0.550380482368861,0.5446979224707474,21.975360184669267,10.350212528854573
80,2021-07-01,492569.0,649452.0,28100214.0,13652424.0,0.3920791212290058,0.5169561410491125,22.367439305898273,10.867168669903686
81,2021-07-02,438338.0,660628.0,28538552.0,14313052.0,0.3489118841041153,0.5258521053888403,22.71635119000239,11.393020775292525
82,2021-07-03,755324.0,616334.0,29293876.0,14929386.0,0.6012290058107139,0.49059460319987264,23.3175801958131,11.883615378492399
83,2021-07-04,742540.0,553794.0,30036416.0,15483180.0,0.5910530924142322,0.4408134999602005,23.908633288227335,12.324428878452599
84,2021-07-05,761917.0,583953.0,30798333.0,16067133.0,0.6064769561410491,0.4648197086683117,24.515110244368383,12.78924858712091
85,2021-07-06,802499.0,624219.0,31600832.0,16691352.0,0.6387797500596991,0.49687097030963945,25.15388999442808,13.28611955743055
86,2021-07-07,837750.0,604961.0,32438582.0,17296313.0,0.6668391307808644,0.4815418291809281,25.820729125208945,13.76766138661148
87,2021-07-08,815844.0,603685.0,33254426.0,17899998.0,0.6494022128472499,0.48052614821300643,26.470131338056195,14.248187534824485
88,2021-07-09,814918.0,599996.0,34069344.0,18499994.0,0.6486651277561092,0.47758974767173445,27.118796465812306,14.72577728249622
89,2021-07-10,868873.0,631428.0,34938217.0,19131422.0,0.6916126721324525,0.5026092493831091,27.81040913794476,15.228386531879329
90,2021-07-11,651788.0,643905.0,35590005.0,19775327.0,0.518815569529571,0.5125407943962429,28.32922470747433,15.740927326275573
91,2021-07-12,646356.0,620118.0,36236361.0,20395445.0,0.5144917615219294,0.49360662262198524,28.843716468996263,16.234533948897557
92,2021-07-13,697167.0,637467.0,36933528.0,21032912.0,0.5549367189365597,0.5074162222399109,29.398653187932815,16.741950171137468
93,2021-07-14,692879.0,642572.0,37626407.0,21675484.0,0.5515235214518824,0.511479742099817,29.950176709384703,17.253429913237284
94,2021-07-15,673326.0,624301.0,38299733.0,22299785.0,0.5359595637984558,0.4969362413436281,30.486136273183156,17.750366154580913
95,2021-07-16,695206.0,607467.0,38994939.0,22907252.0,0.5533757860383667,0.48353657565868025,31.039512059221526,18.233902730239592
96,2021-07-17,703956.0,657652.0,39698895.0,23564904.0,0.5603406829578922,0.5234832444479822,31.59985274217942,18.757385974687573
97,2021-07-18,533204.0,679624.0,40232099.0,24244528.0,0.42442410252328266,0.5409726976040754,32.0242768447027,19.29835867229165
98,2021-07-19,359777.0,595724.0,40591876.0,24840252.0,0.2863782536018467,0.47418928599856724,32.310655098304544,19.772547958290218
99,2021-07-20,614469.0,647266.0,41206345.0,25487518.0,0.48911008517073945,0.5152161108015602,32.79976518347528,20.287764069091775
100,2021-07-21,584751.0,682467.0,41791096.0,26169985.0,0.4654549072673725,0.5432356921117568,33.26522009074266,20.830999761203532
