,date,Pm,Sm,Dm,Cm,Rm,1st_ratio,2nd_ratio,pm,sm,dm,cm,rm,1st-ratio,2nd-ratio,P,S,C,D,R,V1,V2,P7,S7,C7,D7,R7,V17,V27
29,2020-03-28,1.7670938470110642,0.0,0.0,0.0,0.0,16.00191742099817,8.98263647218021,4.513864010890592,1.0030808913090206,0.0716486350935014,21.56623916314394,0.0716486350935014,12.762169474845818,6.854698900850745,2.5543997103071403,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.554055710375584,0.6287896372346586,0.558131140087625,2.9477691579639846,1.3289666656321855,1.0863120576325607,1.5040028180815876,2.5540557103755837,0.6287896372346585,0.558131140087625
30,2020-03-29,1.2019422112552736,0.0,0.0,0.0,0.0,16.00191742099817,8.98263647218021,4.872107186358099,1.074729526402522,0.0716486350935014,26.29504907931504,0.0,12.762169474845818,6.854698900850745,4.0535286478289265,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.554055710375584,0.6287896372346586,0.558131140087625,3.469694088436075,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.5540557103755837,0.6287896372346585,0.558131140087625
31,2020-03-30,0.6367905754994826,0.0,0.0,0.0,0.0,16.00191742099817,8.98263647218021,0.9314322562155192,1.1463781614960231,0.0716486350935014,27.083184065343552,0.0,12.762169474845818,6.854698900850745,1.462697929354446,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.554055710375584,0.6287896372346586,0.558131140087625,3.151107021828302,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.5540557103755837,0.6287896372346585,0.558131140087625
32,2020-03-31,1.806893257979782,0.0,0.0,0.0,0.0,16.00191742099817,8.98263647218021,5.588593537293114,1.1463781614960231,0.5015404456545103,32.17023715698216,0.0,12.762169474845818,6.854698900850745,3.092929542247286,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.554055710375584,0.6287896372346586,0.558131140087625,3.3473349878065792,1.3289666656321855,1.0863120576325607,1.5040028180815876,2.5540557103755837,0.6287896372346585,0.558131140087625
33,2020-04-01,2.045689723792088,0.0,0.0,0.0,0.0,16.00191742099817,8.98263647218021,4.728809916171096,1.2180267965895248,0.0,36.82739843805975,0.0,12.762169474845818,6.854698900850745,2.31159684734854,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.554055710375584,0.6287896372346586,0.558131140087625,3.1106661209936055,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.5540557103755837,0.6287896372346585,0.558131140087625
34,2020-04-02,2.2367268964419327,0.0,0.0,0.0,0.0,16.00191742099817,8.98263647218021,6.949917604069642,1.2896754316830263,0.0,43.7056674070359,0.0,12.762169474845818,6.854698900850745,3.1071820234849437,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.554055710375584,0.6287896372346586,0.558131140087625,2.90469174453379,1.3289666656321855,1.0863120576325607,1.5040028180815876,2.5540557103755837,0.6287896372346585,0.558131140087625
35,2020-04-03,2.809838414391467,0.0,0.0,0.0,0.0,16.00191742099817,8.98263647218021,6.37672852332163,1.576269972057032,0.1432972701870029,48.864369133768,0.7881349860285161,12.762169474845818,6.854698900850745,2.269428907605939,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.554055710375584,0.6287896372346586,0.558131140087625,2.6931090868824605,1.3289666656321855,1.0863120576325607,1.5040028180815876,2.5540557103755837,0.6287896372346585,0.558131140087625
36,2020-04-04,2.9053570007163896,0.0,0.0,0.0,0.0,16.00191742099817,8.98263647218021,8.31124167084617,1.576269972057032,0.3582431754675073,56.81736762914666,0.0,12.762169474845818,6.854698900850745,2.860661071529875,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.554055710375584,0.6287896372346586,0.558131140087625,2.7368607099142794,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.5540557103755837,0.6287896372346585,0.558131140087625
37,2020-04-05,2.7541192390352625,0.0,0.0,0.0,0.0,16.00191742099817,8.98263647218021,10.31740345346421,1.7195672422440351,0.5015404456545103,66.41828473167585,0.0716486350935014,12.762169474845818,6.854698900850745,3.746171664331528,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.554055710375584,0.6287896372346586,0.558131140087625,2.692952569414651,1.3289666656321855,1.0863120576325607,1.5040028180815876,2.5540557103755837,0.6287896372346585,0.558131140087625
38,2020-04-06,1.974050784048396,0.0,0.0,0.0,0.0,16.00191742099817,8.98263647218021,5.946836712760621,1.93451314752454,0.0,72.15017553915598,0.0,12.762169474845818,6.854698900850745,3.012504420258536,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.554055710375584,0.6287896372346586,0.558131140087625,2.9143534966866644,1.3289666656321855,1.0863120576325607,1.5040028180815874,2.5540557103755837,0.6287896372346585,0.558131140087625
