,Date,Prefecture,Severe cases
273,2020/5/14,Okayama,0
274,2020/5/14,Hiroshima,1
275,2020/5/14,Yamaguchi,1
276,2020/5/14,Tokushima,0
277,2020/5/14,Kagawa,0
278,2020/5/14,Ehime,0
279,2020/5/14,Kochi,0
280,2020/5/14,Fukuoka,10
281,2020/5/14,Saga,0
282,2020/5/14,Nagasaki,0
283,2020/5/14,Kumamoto,1
284,2020/5/14,Oita,0
285,2020/5/14,Miyazaki,0
286,2020/5/14,Kagoshima,0
287,2020/5/14,Okinawa,4
288,2020/5/15,ALL,232
289,2020/5/15,Hokkaido,17
290,2020/5/15,Aomori,0
291,2020/5/15,Iwate,0
292,2020/5/15,Miyagi,0
293,2020/5/15,Akita,0
294,2020/5/15,Yamagata,2
295,2020/5/15,Fukushima,2
296,2020/5/15,Ibaraki,2
297,2020/5/15,Tochigi,5
298,2020/5/15,Gunma,1
299,2020/5/15,Saitama,8
300,2020/5/15,Chiba,11
301,2020/5/15,Tokyo,53
302,2020/5/15,Kanagawa,34
303,2020/5/15,Niigata,0
304,2020/5/15,Toyama,2
305,2020/5/15,Ishikawa,3
306,2020/5/15,Fukui,2
307,2020/5/15,Yamanashi,1
308,2020/5/15,Nagano,2
309,2020/5/15,Gifu,1
310,2020/5/15,Shizuoka,2
311,2020/5/15,Aichi,4
312,2020/5/15,Mie,0
313,2020/5/15,Shiga,1
314,2020/5/15,Kyoto,1
315,2020/5/15,Osaka,41
316,2020/5/15,Hyogo,19
317,2020/5/15,Nara,0
318,2020/5/15,Wakayama,0
319,2020/5/15,Tottori,0
320,2020/5/15,Shimane,1
321,2020/5/15,Okayama,0
322,2020/5/15,Hiroshima,1
323,2020/5/15,Yamaguchi,1
324,2020/5/15,Tokushima,0
325,2020/5/15,Kagawa,0
326,2020/5/15,Ehime,0
327,2020/5/15,Kochi,0
328,2020/5/15,Fukuoka,10
329,2020/5/15,Saga,0
330,2020/5/15,Nagasaki,0
331,2020/5/15,Kumamoto,1
332,2020/5/15,Oita,0
