,Date,Prefecture,Deaths(Cumulative)
274,2020/5/14,Hiroshima,2
275,2020/5/14,Yamaguchi,0
276,2020/5/14,Tokushima,1
277,2020/5/14,Kagawa,0
278,2020/5/14,Ehime,3
279,2020/5/14,Kochi,3
280,2020/5/14,Fukuoka,25
281,2020/5/14,Saga,0
282,2020/5/14,Nagasaki,1
283,2020/5/14,Kumamoto,3
284,2020/5/14,Oita,1
285,2020/5/14,Miyazaki,0
286,2020/5/14,Kagoshima,0
287,2020/5/14,Okinawa,6
288,2020/5/15,ALL,725
289,2020/5/15,Hokkaido,72
290,2020/5/15,Aomori,0
291,2020/5/15,Iwate,0
292,2020/5/15,Miyagi,1
293,2020/5/15,Akita,0
294,2020/5/15,Yamagata,0
295,2020/5/15,Fukushima,0
296,2020/5/15,Ibaraki,9
297,2020/5/15,Tochigi,0
298,2020/5/15,Gunma,18
299,2020/5/15,Saitama,45
300,2020/5/15,Chiba,42
301,2020/5/15,Tokyo,219
302,2020/5/15,Kanagawa,63
303,2020/5/15,Niigata,0
304,2020/5/15,Toyama,18
305,2020/5/15,Ishikawa,20
306,2020/5/15,Fukui,8
307,2020/5/15,Yamanashi,0
308,2020/5/15,Nagano,0
309,2020/5/15,Gifu,7
310,2020/5/15,Shizuoka,1
311,2020/5/15,Aichi,34
312,2020/5/15,Mie,1
313,2020/5/15,Shiga,1
314,2020/5/15,Kyoto,13
315,2020/5/15,Osaka,66
316,2020/5/15,Hyogo,37
317,2020/5/15,Nara,2
318,2020/5/15,Wakayama,3
319,2020/5/15,Tottori,0
320,2020/5/15,Shimane,0
321,2020/5/15,Okayama,0
322,2020/5/15,Hiroshima,2
323,2020/5/15,Yamaguchi,0
324,2020/5/15,Tokushima,1
325,2020/5/15,Kagawa,0
326,2020/5/15,Ehime,3
327,2020/5/15,Kochi,3
328,2020/5/15,Fukuoka,25
329,2020/5/15,Saga,0
330,2020/5/15,Nagasaki,1
331,2020/5/15,Kumamoto,3
332,2020/5/15,Oita,1
333,2020/5/15,Miyazaki,0
334,2020/5/15,Kagoshima,0
335,2020/5/15,Okinawa,6
336,2020/5/16,ALL,744
337,2020/5/16,Hokkaido,73
338,2020/5/16,Aomori,0
339,2020/5/16,Iwate,0
340,2020/5/16,Miyagi,1
341,2020/5/16,Akita,0
342,2020/5/16,Yamagata,0
343,2020/5/16,Fukushima,0
344,2020/5/16,Ibaraki,9
345,2020/5/16,Tochigi,0
346,2020/5/16,Gunma,18
347,2020/5/16,Saitama,46
348,2020/5/16,Chiba,42
349,2020/5/16,Tokyo,230
350,2020/5/16,Kanagawa,63
351,2020/5/16,Niigata,0
352,2020/5/16,Toyama,18
353,2020/5/16,Ishikawa,21
354,2020/5/16,Fukui,8
355,2020/5/16,Yamanashi,0
356,2020/5/16,Nagano,0
357,2020/5/16,Gifu,7
358,2020/5/16,Shizuoka,1
359,2020/5/16,Aichi,34
360,2020/5/16,Mie,1
361,2020/5/16,Shiga,1
362,2020/5/16,Kyoto,13
363,2020/5/16,Osaka,70
364,2020/5/16,Hyogo,38
365,2020/5/16,Nara,2
366,2020/5/16,Wakayama,3
367,2020/5/16,Tottori,0
368,2020/5/16,Shimane,0
369,2020/5/16,Okayama,0
370,2020/5/16,Hiroshima,2
371,2020/5/16,Yamaguchi,0
372,2020/5/16,Tokushima,1
373,2020/5/16,Kagawa,0
374,2020/5/16,Ehime,3
375,2020/5/16,Kochi,3
376,2020/5/16,Fukuoka,25
377,2020/5/16,Saga,0
378,2020/5/16,Nagasaki,1
379,2020/5/16,Kumamoto,3
380,2020/5/16,Oita,1
381,2020/5/16,Miyazaki,0
382,2020/5/16,Kagoshima,0
383,2020/5/16,Okinawa,6
384,2020/5/17,ALL,749
385,2020/5/17,Hokkaido,74
386,2020/5/17,Aomori,0
387,2020/5/17,Iwate,0
388,2020/5/17,Miyagi,1
389,2020/5/17,Akita,0
390,2020/5/17,Yamagata,0
391,2020/5/17,Fukushima,0
392,2020/5/17,Ibaraki,9
393,2020/5/17,Tochigi,0
394,2020/5/17,Gunma,18
395,2020/5/17,Saitama,46
396,2020/5/17,Chiba,42
397,2020/5/17,Tokyo,237
398,2020/5/17,Kanagawa,63
399,2020/5/17,Niigata,0
400,2020/5/17,Toyama,18
401,2020/5/17,Ishikawa,21
402,2020/5/17,Fukui,8
403,2020/5/17,Yamanashi,0
404,2020/5/17,Nagano,0
405,2020/5/17,Gifu,7
406,2020/5/17,Shizuoka,1
407,2020/5/17,Aichi,34
408,2020/5/17,Mie,1
409,2020/5/17,Shiga,1
410,2020/5/17,Kyoto,13
411,2020/5/17,Osaka,70
412,2020/5/17,Hyogo,38
413,2020/5/17,Nara,2
414,2020/5/17,Wakayama,3
415,2020/5/17,Tottori,0
416,2020/5/17,Shimane,0
417,2020/5/17,Okayama,0
418,2020/5/17,Hiroshima,2
419,2020/5/17,Yamaguchi,0
420,2020/5/17,Tokushima,1
421,2020/5/17,Kagawa,0
422,2020/5/17,Ehime,3
423,2020/5/17,Kochi,3
424,2020/5/17,Fukuoka,25
425,2020/5/17,Saga,0
426,2020/5/17,Nagasaki,1
427,2020/5/17,Kumamoto,0
428,2020/5/17,Oita,1
429,2020/5/17,Miyazaki,0
430,2020/5/17,Kagoshima,0
431,2020/5/17,Okinawa,6
432,2020/5/18,ALL,763
433,2020/5/18,Hokkaido,75
434,2020/5/18,Aomori,1
435,2020/5/18,Iwate,0
436,2020/5/18,Miyagi,1
437,2020/5/18,Akita,0
438,2020/5/18,Yamagata,0
439,2020/5/18,Fukushima,0
440,2020/5/18,Ibaraki,9
441,2020/5/18,Tochigi,0
442,2020/5/18,Gunma,18
443,2020/5/18,Saitama,46
444,2020/5/18,Chiba,42
445,2020/5/18,Tokyo,241
446,2020/5/18,Kanagawa,64
447,2020/5/18,Niigata,0
448,2020/5/18,Toyama,20
449,2020/5/18,Ishikawa,22
450,2020/5/18,Fukui,8
451,2020/5/18,Yamanashi,0
452,2020/5/18,Nagano,0
453,2020/5/18,Gifu,7
454,2020/5/18,Shizuoka,1
455,2020/5/18,Aichi,34
456,2020/5/18,Mie,1
457,2020/5/18,Shiga,1
458,2020/5/18,Kyoto,14
459,2020/5/18,Osaka,70
460,2020/5/18,Hyogo,38
461,2020/5/18,Nara,2
462,2020/5/18,Wakayama,3
463,2020/5/18,Tottori,0
464,2020/5/18,Shimane,0
465,2020/5/18,Okayama,0
466,2020/5/18,Hiroshima,2
467,2020/5/18,Yamaguchi,0
468,2020/5/18,Tokushima,1
469,2020/5/18,Kagawa,0
470,2020/5/18,Ehime,3
471,2020/5/18,Kochi,3
