,date,tested
295,2020/11/29,11975.0
296,2020/11/30,41335.0
297,2020/12/01,44289.0
298,2020/12/02,43236.0
299,2020/12/03,36823.0
300,2020/12/04,38145.0
301,2020/12/05,22313.0
302,2020/12/06,17612.0
303,2020/12/07,37737.0
304,2020/12/08,40060.0
305,2020/12/09,54557.0
306,2020/12/10,44612.0
307,2020/12/11,53834.0
308,2020/12/12,28203.0
309,2020/12/13,13144.0
310,2020/12/14,53758.0
311,2020/12/15,45817.0
312,2020/12/16,54303.0
313,2020/12/17,62439.0
314,2020/12/18,56421.0
315,2020/12/19,27049.0
316,2020/12/20,12282.0
317,2020/12/21,55650.0
318,2020/12/22,31110.0
319,2020/12/23,72258.0
320,2020/12/24,63512.0
321,2020/12/25,60261.0
322,2020/12/26,32677.0
323,2020/12/27,11963.0
324,2020/12/28,74383.0
325,2020/12/29,24850.0
326,2020/12/30,21069.0
327,2020/12/31,39575.0
328,2021/01/01,25072.0
329,2021/01/02,8746.0
330,2021/01/03,20291.0
331,2021/01/04,84338.0
332,2021/01/05,88446.0
333,2021/01/06,73967.0
334,2021/01/07,81440.0
335,2021/01/08,63373.0
336,2021/01/09,35730.0
337,2021/01/10,24008.0
338,2021/01/11,19942.0
339,2021/01/12,86551.0
340,2021/01/13,81255.0
341,2021/01/14,101255.0
342,2021/01/15,70610.0
343,2021/01/16,44662.0
344,2021/01/17,16038.0
345,2021/01/18,80773.0
346,2021/01/19,103313.0
347,2021/01/20,86804.0
348,2021/01/21,85769.0
349,2021/01/22,101273.0
350,2021/01/23,37116.0
351,2021/01/24,18784.0
352,2021/01/25,81941.0
353,2021/01/26,66335.0
354,2021/01/27,90824.0
355,2021/01/28,64332.0
356,2021/01/29,82296.0
357,2021/01/30,40425.0
358,2021/01/31,17772.0
359,2021/02/01,67269.0
360,2021/02/02,59110.0
361,2021/02/03,68807.0
362,2021/02/04,61902.0
363,2021/02/05,71144.0
364,2021/02/06,33043.0
365,2021/02/07,18191.0
366,2021/02/08,58499.0
367,2021/02/09,78153.0
368,2021/02/10,65352.0
369,2021/02/11,32865.0
370,2021/02/12,56650.0
371,2021/02/13,30220.0
372,2021/02/14,14716.0
373,2021/02/15,58421.0
374,2021/02/16,59849.0
375,2021/02/17,61138.0
376,2021/02/18,54504.0
377,2021/02/19,74955.0
378,2021/02/20,31579.0
379,2021/02/21,14683.0
380,2021/02/22,54180.0
381,2021/02/23,18324.0
382,2021/02/24,54702.0
383,2021/02/25,59234.0
