,Date,Prefecture,Requiring inpatient care,Discharged from hospital or released from treatment,To be confirmed
351,2020/5/16,Shizuoka,6,66,0
352,2020/5/16,Aichi,65,400,4
353,2020/5/16,Mie,7,37,0
354,2020/5/16,Shiga,20,78,0
355,2020/5/16,Kyoto,62,283,0
356,2020/5/16,Osaka,424,1265,9
357,2020/5/16,Hyogo,101,559,0
358,2020/5/16,Nara,11,77,0
359,2020/5/16,Wakayama,8,52,0
360,2020/5/16,Tottori,2,1,0
361,2020/5/16,Shimane,8,16,0
362,2020/5/16,Okayama,2,23,0
363,2020/5/16,Hiroshima,50,113,0
364,2020/5/16,Yamaguchi,4,33,0
365,2020/5/16,Tokushima,0,4,1
366,2020/5/16,Kagawa,2,26,0
367,2020/5/16,Ehime,26,41,0
368,2020/5/16,Kochi,5,66,0
369,2020/5/16,Fukuoka,94,538,0
370,2020/5/16,Saga,16,29,2
371,2020/5/16,Kumamoto,14,31,0
372,2020/5/16,Oita,3,56,0
373,2020/5/16,Miyazaki,3,14,0
374,2020/5/16,Kagoshima,3,7,0
375,2020/5/16,Okinawa,12,124,0
376,2020/5/17,ALL,3667,11547,169
377,2020/5/17,Hokkaido,343,589,0
378,2020/5/17,Aomori,5,21,1
379,2020/5/17,Iwate,0,0,0
380,2020/5/17,Miyagi,1,85,1
381,2020/5/17,Akita,1,15,0
382,2020/5/17,Yamagata,11,58,0
383,2020/5/17,Fukushima,15,66,0
384,2020/5/17,Ibaraki,29,130,0
385,2020/5/17,Tochigi,18,40,2
386,2020/5/17,Gunma,35,94,0
387,2020/5/17,Saitama,192,750,0
388,2020/5/17,Chiba,203,650,3
389,2020/5/17,Tokyo,1306,3512,0
390,2020/5/17,Kanagawa,379,809,0
391,2020/5/17,Niigata,22,60,1
392,2020/5/17,Toyama,51,156,0
393,2020/5/17,Ishikawa,89,177,0
394,2020/5/17,Fukui,12,102,0
395,2020/5/17,Yamanashi,6,51,0
396,2020/5/17,Nagano,24,52,0
397,2020/5/17,Gifu,9,134,0
398,2020/5/17,Shizuoka,6,66,0
399,2020/5/17,Aichi,63,404,3
400,2020/5/17,Mie,6,38,0
401,2020/5/17,Shiga,20,78,0
402,2020/5/17,Kyoto,62,283,0
403,2020/5/17,Osaka,408,1281,9
404,2020/5/17,Hyogo,96,565,0
405,2020/5/17,Nara,9,79,0
406,2020/5/17,Wakayama,8,52,0
407,2020/5/17,Tottori,2,1,0
408,2020/5/17,Shimane,8,16,0
409,2020/5/17,Okayama,2,23,0
410,2020/5/17,Hiroshima,50,113,0
411,2020/5/17,Yamaguchi,4,33,0
412,2020/5/17,Tokushima,0,4,0
413,2020/5/17,Kagawa,1,27,0
414,2020/5/17,Ehime,25,43,0
415,2020/5/17,Kochi,4,67,0
416,2020/5/17,Fukuoka,89,543,0
